Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income,Per_Capita_Income,Age_Group,Experience_Group,Is_Anomaly
47,Bachelor's,Finance,2,Suburban,39,Single,Full-time,1,Own,Single-family home,Female,Car,65642,65642,40–49,16+ yrs,Yes
55,Master's,Technology,1,Urban,22,Married,Part-time,5,Own,Apartment,Female,Biking,72402,14480.4,50–59,16+ yrs,No
19,Bachelor's,Healthcare,5,Urban,32,Single,Full-time,7,Own,Single-family home,Female,Public transit,74310,10615.71429,18–29,16+ yrs,Yes
38,High School,Technology,3,Urban,28,Single,Full-time,6,Rent,Townhouse,Female,Public transit,69002,11500.33333,30–39,16+ yrs,Yes
50,High School,Technology,4,Urban,9,Single,Part-time,4,Rent,Apartment,Female,Public transit,1538406,384601.5,50–59,6–10 yrs,No
29,Master's,Technology,5,Rural,14,Single,Self-employed,5,Rent,Single-family home,Male,Biking,5579421,1115884.2,18–29,11–15 yrs,No
39,Bachelor's,Education,0,Urban,9,Single,Full-time,5,Own,Apartment,Male,Car,6252651,1250530.2,30–39,6–10 yrs,No
61,Bachelor's,Others,2,Urban,25,Married,Part-time,6,Own,Single-family home,Male,Public transit,71376,11896,60–70,16+ yrs,No
42,High School,Healthcare,1,Urban,39,Married,Self-employed,4,Rent,Apartment,Male,Walking,3907114,976778.5,40–49,16+ yrs,Yes
66,Master's,Education,4,Rural,28,Single,Full-time,1,Own,Apartment,Male,Biking,239639,239639,60–70,16+ yrs,Yes
44,Bachelor's,Others,2,Urban,33,Married,Part-time,2,Own,Apartment,Female,Car,5922905,2961452.5,40–49,16+ yrs,Yes
59,High School,Finance,4,Rural,17,Married,Full-time,7,Own,Apartment,Male,Biking,875085,125012.1429,50–59,16+ yrs,No
45,High School,Healthcare,3,Urban,1,Single,Self-employed,5,Own,Townhouse,Male,Public transit,490898,98179.6,40–49,0–5 yrs,No
33,Bachelor's,Others,2,Urban,24,Single,Full-time,7,Own,Single-family home,Female,Biking,69972,9996,30–39,16+ yrs,Yes
32,Master's,Healthcare,1,Suburban,20,Single,Full-time,4,Rent,Single-family home,Female,Car,8440036,2110009,30–39,16+ yrs,Yes
64,Master's,Finance,3,Urban,50,Married,Part-time,4,Own,Single-family home,Male,Biking,50958,12739.5,60–70,16+ yrs,Yes
68,Bachelor's,Technology,2,Urban,30,Married,Part-time,1,Own,Single-family home,Female,Walking,74064,74064,60–70,16+ yrs,Yes
61,Master's,Technology,4,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,69066,9866.571429,60–70,16+ yrs,No
69,High School,Finance,3,Urban,8,Married,Part-time,5,Own,Single-family home,Female,Public transit,73738,14747.6,60–70,6–10 yrs,No
20,Bachelor's,Healthcare,1,Urban,26,Married,Self-employed,4,Own,Apartment,Male,Car,70502,17625.5,18–29,16+ yrs,Yes
54,Bachelor's,Healthcare,2,Urban,24,Single,Self-employed,6,Own,Apartment,Female,Public transit,70586,11764.33333,50–59,16+ yrs,No
68,High School,Technology,4,Urban,24,Married,Part-time,7,Own,Apartment,Female,Car,6366832,909547.4286,60–70,16+ yrs,No
24,Master's,Healthcare,4,Urban,26,Single,Self-employed,6,Own,Single-family home,Male,Public transit,65836,10972.66667,18–29,16+ yrs,Yes
38,High School,Others,5,Suburban,9,Married,Self-employed,1,Rent,Townhouse,Male,Public transit,73828,73828,30–39,6–10 yrs,Yes
26,Bachelor's,Technology,3,Urban,29,Married,Part-time,7,Rent,Townhouse,Male,Car,5350468,764352.5714,18–29,16+ yrs,Yes
56,Bachelor's,Healthcare,2,Urban,3,Married,Self-employed,7,Own,Single-family home,Female,Biking,74820,10688.57143,50–59,0–5 yrs,No
35,Bachelor's,Technology,5,Urban,20,Married,Self-employed,1,Rent,Apartment,Male,Biking,590478,590478,30–39,16+ yrs,Yes
21,Bachelor's,Education,4,Urban,29,Married,Part-time,4,Own,Apartment,Female,Car,1248886,312221.5,18–29,16+ yrs,Yes
42,High School,Healthcare,3,Urban,32,Single,Part-time,4,Own,Single-family home,Male,Public transit,65970,16492.5,40–49,16+ yrs,Yes
31,Master's,Education,0,Suburban,42,Single,Full-time,5,Own,Apartment,Female,Car,68644,13728.8,30–39,16+ yrs,Yes
67,Bachelor's,Others,4,Suburban,25,Married,Full-time,5,Rent,Apartment,Male,Car,68054,13610.8,60–70,16+ yrs,No
26,Bachelor's,Education,3,Urban,1,Married,Part-time,2,Rent,Single-family home,Female,Car,74042,37021,18–29,0–5 yrs,Yes
43,Doctorate,Education,0,Urban,22,Married,Part-time,4,Rent,Townhouse,Female,Car,71074,17768.5,40–49,16+ yrs,No
70,Master's,Education,3,Urban,30,Married,Part-time,7,Own,Apartment,Male,Public transit,9061674,1294524.857,60–70,16+ yrs,No
19,High School,Healthcare,4,Rural,3,Married,Self-employed,3,Own,Single-family home,Female,Public transit,66402,22134,18–29,0–5 yrs,Yes
37,Master's,Healthcare,0,Urban,46,Married,Full-time,6,Own,Apartment,Female,Car,71332,11888.66667,30–39,16+ yrs,Yes
45,High School,Finance,3,Urban,19,Single,Full-time,3,Own,Single-family home,Male,Biking,74462,24820.66667,40–49,16+ yrs,No
64,High School,Others,2,Urban,24,Married,Part-time,6,Own,Single-family home,Female,Biking,7166308,1194384.667,60–70,16+ yrs,No
24,Bachelor's,Healthcare,0,Urban,44,Married,Full-time,2,Rent,Single-family home,Male,Public transit,71986,35993,18–29,16+ yrs,Yes
61,Doctorate,Technology,3,Urban,0,Divorced,Part-time,4,Own,Single-family home,Female,Car,65652,16413,60–70,0–5 yrs,No
25,High School,Others,2,Suburban,1,Married,Part-time,1,Own,Single-family home,Male,Biking,73092,73092,18–29,0–5 yrs,Yes
64,Bachelor's,Healthcare,0,Urban,5,Married,Part-time,6,Own,Apartment,Female,Car,1142923,190487.1667,60–70,0–5 yrs,No
52,High School,Healthcare,3,Urban,6,Married,Full-time,7,Own,Apartment,Male,Car,215911,30844.42857,50–59,6–10 yrs,No
31,Master's,Others,4,Urban,50,Married,Full-time,3,Own,Single-family home,Male,Public transit,73718,24572.66667,30–39,16+ yrs,Yes
34,Bachelor's,Finance,0,Urban,3,Married,Full-time,5,Own,Apartment,Female,Walking,67916,13583.2,30–39,0–5 yrs,No
53,Bachelor's,Healthcare,0,Urban,17,Married,Part-time,3,Rent,Single-family home,Female,Biking,158392,52797.33333,50–59,16+ yrs,No
67,High School,Education,2,Suburban,40,Married,Full-time,4,Own,Apartment,Male,Car,5227297,1306824.25,60–70,16+ yrs,No
57,Master's,Healthcare,5,Urban,42,Single,Part-time,6,Rent,Townhouse,Male,Biking,4232118,705353,50–59,16+ yrs,No
21,Doctorate,Education,5,Urban,4,Married,Full-time,3,Own,Apartment,Male,Public transit,66784,22261.33333,18–29,0–5 yrs,Yes
19,Bachelor's,Finance,3,Suburban,24,Single,Self-employed,2,Own,Single-family home,Male,Car,72016,36008,18–29,16+ yrs,Yes
23,Bachelor's,Technology,4,Urban,0,Married,Self-employed,7,Rent,Apartment,Female,Public transit,75104,10729.14286,18–29,0–5 yrs,No
59,Master's,Technology,2,Urban,33,Married,Full-time,7,Rent,Apartment,Male,Biking,5004178,714882.5714,50–59,16+ yrs,No
21,High School,Education,0,Urban,2,Single,Part-time,5,Own,Townhouse,Female,Public transit,180722,36144.4,18–29,0–5 yrs,No
46,Master's,Healthcare,5,Suburban,16,Married,Full-time,2,Own,Apartment,Female,Public transit,5324279,2662139.5,40–49,16+ yrs,Yes
35,Master's,Healthcare,2,Urban,31,Single,Part-time,1,Own,Apartment,Male,Walking,71180,71180,30–39,16+ yrs,Yes
43,High School,Finance,2,Urban,23,Single,Full-time,1,Own,Apartment,Female,Public transit,74094,74094,40–49,16+ yrs,Yes
61,Bachelor's,Technology,2,Urban,1,Single,Part-time,1,Rent,Apartment,Male,Public transit,49810,49810,60–70,0–5 yrs,Yes
51,High School,Healthcare,0,Urban,0,Married,Full-time,1,Own,Apartment,Male,Biking,68654,68654,50–59,0–5 yrs,No
27,Bachelor's,Education,1,Suburban,33,Single,Self-employed,4,Own,Single-family home,Male,Walking,66480,16620,18–29,16+ yrs,Yes
53,Bachelor's,Finance,2,Urban,7,Single,Full-time,4,Own,Apartment,Female,Walking,66764,16691,50–59,6–10 yrs,No
31,Bachelor's,Technology,1,Suburban,44,Single,Self-employed,4,Rent,Apartment,Female,Biking,71224,17806,30–39,16+ yrs,Yes
48,Bachelor's,Education,5,Urban,45,Single,Full-time,2,Own,Apartment,Male,Biking,68174,34087,40–49,16+ yrs,Yes
65,High School,Healthcare,4,Urban,43,Single,Full-time,2,Rent,Apartment,Male,Walking,82524,41262,60–70,16+ yrs,Yes
32,Bachelor's,Healthcare,5,Suburban,8,Married,Part-time,7,Rent,Single-family home,Male,Biking,66704,9529.142857,30–39,6–10 yrs,No
25,High School,Finance,4,Urban,27,Married,Self-employed,3,Own,Townhouse,Male,Public transit,659147,219715.6667,18–29,16+ yrs,Yes
31,Master's,Technology,4,Urban,18,Divorced,Part-time,5,Own,Townhouse,Female,Car,66424,13284.8,30–39,16+ yrs,Yes
40,High School,Finance,5,Urban,19,Single,Full-time,2,Own,Townhouse,Female,Biking,72678,36339,40–49,16+ yrs,Yes
57,Master's,Others,3,Urban,6,Married,Self-employed,3,Rent,Single-family home,Male,Public transit,53957,17985.66667,50–59,6–10 yrs,No
38,Bachelor's,Others,0,Urban,41,Single,Part-time,1,Rent,Apartment,Male,Walking,41398,41398,30–39,16+ yrs,Yes
33,Bachelor's,Healthcare,1,Rural,34,Single,Full-time,1,Own,Single-family home,Male,Car,71576,71576,30–39,16+ yrs,Yes
62,Master's,Healthcare,3,Suburban,18,Single,Part-time,7,Rent,Apartment,Female,Walking,67830,9690,60–70,16+ yrs,No
35,Bachelor's,Technology,1,Rural,16,Single,Part-time,2,Own,Single-family home,Female,Walking,3059562,1529781,30–39,16+ yrs,No
64,Bachelor's,Healthcare,0,Rural,39,Married,Part-time,4,Own,Single-family home,Female,Car,67232,16808,60–70,16+ yrs,No
70,High School,Finance,2,Urban,17,Married,Part-time,7,Own,Townhouse,Male,Biking,69764,9966.285714,60–70,16+ yrs,No
41,Bachelor's,Others,5,Urban,6,Married,Self-employed,3,Rent,Apartment,Male,Public transit,5671675,1890558.333,40–49,6–10 yrs,Yes
43,High School,Technology,3,Urban,26,Divorced,Self-employed,6,Rent,Apartment,Female,Car,796904,132817.3333,40–49,16+ yrs,No
42,High School,Healthcare,0,Suburban,38,Married,Part-time,7,Rent,Single-family home,Male,Public transit,555011,79287.28571,40–49,16+ yrs,Yes
62,Bachelor's,Healthcare,5,Urban,29,Married,Full-time,5,Own,Apartment,Male,Biking,69034,13806.8,60–70,16+ yrs,No
58,High School,Education,3,Urban,22,Married,Part-time,3,Own,Townhouse,Male,Public transit,66248,22082.66667,50–59,16+ yrs,No
46,High School,Finance,4,Urban,19,Married,Self-employed,4,Own,Apartment,Male,Public transit,73590,18397.5,40–49,16+ yrs,No
32,High School,Education,3,Urban,22,Married,Full-time,6,Own,Single-family home,Male,Car,68070,11345,30–39,16+ yrs,Yes
62,High School,Healthcare,2,Urban,25,Single,Part-time,4,Own,Single-family home,Female,Car,67766,16941.5,60–70,16+ yrs,No
18,High School,Healthcare,2,Urban,47,Married,Part-time,2,Rent,Apartment,Female,Walking,67192,33596,18–29,16+ yrs,Yes
42,Doctorate,Others,1,Suburban,46,Married,Part-time,7,Own,Apartment,Male,Car,73634,10519.14286,40–49,16+ yrs,Yes
24,High School,Technology,3,Urban,13,Married,Self-employed,7,Own,Townhouse,Male,Public transit,71594,10227.71429,18–29,11–15 yrs,Yes
26,Bachelor's,Others,4,Rural,47,Married,Full-time,7,Own,Apartment,Male,Car,351674,50239.14286,18–29,16+ yrs,Yes
41,High School,Finance,2,Urban,30,Married,Part-time,4,Rent,Apartment,Male,Biking,171792,42948,40–49,16+ yrs,Yes
18,Master's,Technology,1,Rural,26,Divorced,Full-time,4,Own,Apartment,Male,Biking,71314,17828.5,18–29,16+ yrs,Yes
61,High School,Healthcare,4,Urban,8,Married,Self-employed,5,Rent,Single-family home,Male,Car,71448,14289.6,60–70,6–10 yrs,No
25,Doctorate,Education,4,Suburban,22,Single,Full-time,4,Rent,Apartment,Male,Biking,5726383,1431595.75,18–29,16+ yrs,Yes
41,Bachelor's,Technology,4,Urban,9,Single,Self-employed,6,Own,Single-family home,Male,Public transit,69570,11595,40–49,6–10 yrs,No
28,High School,Others,0,Urban,46,Single,Full-time,1,Own,Apartment,Female,Biking,70452,70452,18–29,16+ yrs,Yes
68,Master's,Healthcare,2,Suburban,22,Married,Full-time,4,Rent,Townhouse,Female,Car,74538,18634.5,60–70,16+ yrs,No
34,Bachelor's,Healthcare,0,Urban,9,Single,Full-time,1,Own,Single-family home,Male,Public transit,68190,68190,30–39,6–10 yrs,No
25,High School,Technology,0,Urban,1,Married,Part-time,5,Rent,Apartment,Male,Car,65872,13174.4,18–29,0–5 yrs,No
52,Master's,Healthcare,2,Urban,36,Married,Full-time,6,Own,Townhouse,Male,Public transit,157265,26210.83333,50–59,16+ yrs,No
52,Master's,Technology,3,Urban,39,Married,Full-time,2,Own,Apartment,Male,Car,66008,33004,50–59,16+ yrs,Yes
50,Bachelor's,Healthcare,5,Urban,37,Single,Part-time,1,Own,Townhouse,Female,Public transit,72046,72046,50–59,16+ yrs,Yes
22,Bachelor's,Healthcare,1,Urban,37,Single,Self-employed,2,Own,Apartment,Male,Biking,71618,35809,18–29,16+ yrs,Yes
59,Master's,Education,5,Urban,0,Single,Self-employed,6,Own,Apartment,Female,Car,68604,11434,50–59,0–5 yrs,No
56,Bachelor's,Technology,5,Urban,47,Married,Full-time,6,Rent,Single-family home,Female,Car,70880,11813.33333,50–59,16+ yrs,Yes
58,Master's,Technology,5,Suburban,17,Single,Part-time,7,Rent,Single-family home,Male,Biking,274241,39177.28571,50–59,16+ yrs,No
45,Bachelor's,Healthcare,5,Urban,34,Married,Part-time,6,Own,Apartment,Female,Public transit,70658,11776.33333,40–49,16+ yrs,Yes
24,High School,Others,2,Urban,6,Single,Part-time,6,Rent,Townhouse,Female,Public transit,4855305,809217.5,18–29,6–10 yrs,No
26,Master's,Healthcare,5,Urban,43,Married,Full-time,2,Own,Single-family home,Female,Public transit,68752,34376,18–29,16+ yrs,Yes
25,High School,Healthcare,1,Urban,41,Divorced,Part-time,1,Own,Apartment,Male,Public transit,71456,71456,18–29,16+ yrs,Yes
29,High School,Technology,3,Urban,21,Married,Part-time,3,Own,Single-family home,Female,Public transit,73072,24357.33333,18–29,16+ yrs,Yes
51,Bachelor's,Healthcare,2,Urban,24,Single,Full-time,4,Own,Townhouse,Male,Public transit,65850,16462.5,50–59,16+ yrs,No
50,Bachelor's,Technology,5,Rural,41,Married,Full-time,7,Own,Apartment,Female,Public transit,5908245,844035,50–59,16+ yrs,Yes
65,High School,Others,4,Suburban,22,Single,Full-time,5,Rent,Townhouse,Male,Biking,128166,25633.2,60–70,16+ yrs,No
40,Master's,Technology,2,Urban,8,Single,Self-employed,6,Own,Apartment,Male,Public transit,72296,12049.33333,40–49,6–10 yrs,No
41,Bachelor's,Technology,3,Urban,26,Single,Self-employed,2,Own,Apartment,Male,Public transit,75062,37531,40–49,16+ yrs,Yes
54,Bachelor's,Technology,5,Urban,10,Single,Full-time,3,Own,Apartment,Male,Biking,67804,22601.33333,50–59,6–10 yrs,Yes
52,Master's,Healthcare,0,Rural,50,Married,Part-time,2,Own,Apartment,Female,Car,7897514,3948757,50–59,16+ yrs,Yes
61,Bachelor's,Education,2,Rural,26,Married,Full-time,3,Own,Apartment,Male,Public transit,196973,65657.66667,60–70,16+ yrs,No
57,High School,Education,4,Urban,39,Married,Part-time,5,Own,Apartment,Male,Car,1034725,206945,50–59,16+ yrs,No
39,High School,Others,2,Urban,27,Single,Full-time,7,Own,Single-family home,Male,Public transit,70090,10012.85714,30–39,16+ yrs,Yes
44,Doctorate,Healthcare,0,Urban,17,Married,Full-time,3,Own,Apartment,Male,Biking,302646,100882,40–49,16+ yrs,No
52,High School,Technology,2,Urban,35,Single,Self-employed,7,Own,Single-family home,Male,Public transit,37821,5403,50–59,16+ yrs,No
18,Bachelor's,Others,4,Urban,33,Single,Part-time,7,Rent,Townhouse,Male,Public transit,141058,20151.14286,18–29,16+ yrs,Yes
52,Bachelor's,Finance,3,Urban,12,Single,Full-time,7,Rent,Apartment,Female,Public transit,289709,41387,50–59,11–15 yrs,No
54,Bachelor's,Others,4,Urban,45,Married,Full-time,5,Rent,Single-family home,Female,Biking,414718,82943.6,50–59,16+ yrs,Yes
64,High School,Technology,3,Urban,29,Married,Self-employed,4,Rent,Apartment,Male,Public transit,1309591,327397.75,60–70,16+ yrs,No
31,Bachelor's,Education,4,Urban,27,Single,Full-time,6,Own,Single-family home,Female,Public transit,69850,11641.66667,30–39,16+ yrs,Yes
20,Bachelor's,Finance,1,Suburban,21,Divorced,Part-time,6,Own,Single-family home,Male,Car,71056,11842.66667,18–29,16+ yrs,Yes
18,Doctorate,Healthcare,2,Urban,23,Single,Full-time,7,Rent,Townhouse,Female,Car,72410,10344.28571,18–29,16+ yrs,Yes
22,High School,Healthcare,2,Urban,46,Married,Full-time,6,Rent,Townhouse,Male,Public transit,66540,11090,18–29,16+ yrs,Yes
43,Bachelor's,Finance,0,Suburban,29,Single,Part-time,3,Own,Apartment,Male,Car,71384,23794.66667,40–49,16+ yrs,Yes
31,Bachelor's,Technology,1,Urban,44,Married,Self-employed,6,Own,Single-family home,Female,Car,3336052,556008.6667,30–39,16+ yrs,Yes
56,Bachelor's,Others,0,Urban,37,Married,Full-time,2,Rent,Apartment,Male,Car,279868,139934,50–59,16+ yrs,No
44,Bachelor's,Others,2,Urban,19,Married,Full-time,4,Own,Single-family home,Female,Public transit,66088,16522,40–49,16+ yrs,No
26,High School,Others,0,Urban,5,Single,Self-employed,2,Own,Townhouse,Female,Car,70662,35331,18–29,0–5 yrs,No
32,High School,Healthcare,3,Urban,32,Married,Part-time,2,Rent,Apartment,Female,Walking,67500,33750,30–39,16+ yrs,Yes
32,Master's,Technology,1,Suburban,46,Married,Part-time,4,Own,Single-family home,Male,Public transit,66212,16553,30–39,16+ yrs,Yes
43,Bachelor's,Finance,4,Urban,37,Married,Full-time,4,Rent,Apartment,Male,Car,3345291,836322.75,40–49,16+ yrs,Yes
59,Bachelor's,Others,3,Urban,14,Single,Full-time,5,Own,Townhouse,Female,Biking,66304,13260.8,50–59,11–15 yrs,No
30,High School,Education,5,Suburban,14,Single,Full-time,7,Own,Apartment,Female,Car,33597,4799.571429,30–39,11–15 yrs,No
68,High School,Healthcare,4,Urban,31,Single,Part-time,3,Own,Apartment,Female,Biking,3063006,1021002,60–70,16+ yrs,Yes
49,High School,Others,0,Urban,13,Single,Full-time,5,Rent,Apartment,Male,Public transit,73012,14602.4,40–49,11–15 yrs,No
56,High School,Education,2,Urban,41,Single,Part-time,1,Own,Single-family home,Male,Public transit,74986,74986,50–59,16+ yrs,Yes
66,Bachelor's,Technology,3,Urban,7,Single,Part-time,1,Rent,Single-family home,Female,Public transit,65862,65862,60–70,6–10 yrs,Yes
69,Master's,Education,1,Urban,35,Married,Self-employed,5,Rent,Apartment,Male,Car,4090954,818190.8,60–70,16+ yrs,No
49,High School,Education,4,Suburban,21,Married,Self-employed,5,Rent,Single-family home,Female,Public transit,85064,17012.8,40–49,16+ yrs,No
21,Bachelor's,Finance,5,Urban,37,Married,Self-employed,3,Own,Single-family home,Female,Public transit,537921,179307,18–29,16+ yrs,Yes
47,High School,Education,3,Urban,19,Married,Part-time,4,Own,Apartment,Female,Car,164295,41073.75,40–49,16+ yrs,No
54,Bachelor's,Technology,2,Rural,23,Married,Full-time,1,Rent,Single-family home,Female,Public transit,2893692,2893692,50–59,16+ yrs,Yes
40,High School,Healthcare,1,Urban,20,Married,Full-time,7,Own,Townhouse,Female,Biking,66666,9523.714286,40–49,16+ yrs,No
56,Master's,Education,1,Urban,27,Divorced,Part-time,7,Own,Apartment,Male,Car,70646,10092.28571,50–59,16+ yrs,No
62,Bachelor's,Education,4,Suburban,48,Married,Part-time,4,Rent,Apartment,Female,Public transit,68156,17039,60–70,16+ yrs,Yes
32,Doctorate,Finance,3,Suburban,22,Married,Full-time,2,Own,Apartment,Female,Car,572590,286295,30–39,16+ yrs,Yes
60,Master's,Education,3,Urban,23,Married,Self-employed,2,Rent,Apartment,Female,Biking,226610,113305,60–70,16+ yrs,Yes
46,Bachelor's,Technology,1,Suburban,38,Single,Full-time,4,Own,Single-family home,Male,Public transit,70288,17572,40–49,16+ yrs,Yes
53,Bachelor's,Technology,0,Urban,43,Married,Part-time,2,Own,Apartment,Female,Car,73094,36547,50–59,16+ yrs,Yes
30,High School,Technology,1,Suburban,22,Single,Part-time,1,Rent,Apartment,Female,Public transit,43133,43133,30–39,16+ yrs,Yes
49,Bachelor's,Technology,2,Rural,3,Married,Part-time,1,Rent,Apartment,Female,Public transit,546930,546930,40–49,0–5 yrs,Yes
24,Master's,Education,3,Urban,45,Married,Part-time,2,Own,Single-family home,Female,Public transit,68044,34022,18–29,16+ yrs,Yes
68,High School,Education,4,Urban,3,Married,Full-time,1,Rent,Single-family home,Female,Walking,66446,66446,60–70,0–5 yrs,Yes
39,Master's,Technology,3,Urban,29,Married,Self-employed,2,Own,Single-family home,Male,Public transit,287640,143820,30–39,16+ yrs,Yes
45,Bachelor's,Healthcare,1,Suburban,47,Married,Self-employed,3,Rent,Single-family home,Female,Walking,73182,24394,40–49,16+ yrs,Yes
19,Master's,Others,2,Suburban,27,Married,Part-time,3,Own,Single-family home,Female,Car,75118,25039.33333,18–29,16+ yrs,Yes
59,Master's,Finance,0,Urban,30,Divorced,Full-time,4,Rent,Single-family home,Female,Walking,71990,17997.5,50–59,16+ yrs,No
62,Bachelor's,Education,3,Suburban,32,Married,Full-time,7,Own,Single-family home,Female,Public transit,71790,10255.71429,60–70,16+ yrs,No
70,Bachelor's,Technology,1,Suburban,49,Married,Full-time,7,Rent,Townhouse,Female,Public transit,68046,9720.857143,60–70,16+ yrs,No
23,Bachelor's,Others,5,Suburban,18,Married,Part-time,2,Own,Apartment,Female,Biking,31127,15563.5,18–29,16+ yrs,Yes
45,Master's,Healthcare,1,Suburban,9,Married,Full-time,3,Own,Apartment,Female,Public transit,70500,23500,40–49,6–10 yrs,No
45,Doctorate,Finance,1,Urban,24,Single,Full-time,3,Rent,Single-family home,Male,Public transit,87542,29180.66667,40–49,16+ yrs,No
61,Master's,Healthcare,2,Urban,36,Single,Part-time,1,Own,Townhouse,Female,Public transit,71280,71280,60–70,16+ yrs,Yes
61,Bachelor's,Technology,1,Suburban,12,Married,Self-employed,4,Own,Townhouse,Male,Public transit,70670,17667.5,60–70,11–15 yrs,No
37,Bachelor's,Others,1,Rural,5,Married,Full-time,4,Own,Apartment,Male,Car,74132,18533,30–39,0–5 yrs,No
47,Master's,Technology,1,Urban,29,Married,Part-time,3,Own,Apartment,Male,Car,65958,21986,40–49,16+ yrs,No
28,Bachelor's,Technology,3,Urban,22,Married,Part-time,3,Rent,Single-family home,Male,Car,217972,72657.33333,18–29,16+ yrs,Yes
45,Master's,Others,1,Suburban,35,Single,Self-employed,4,Own,Townhouse,Female,Public transit,48122,12030.5,40–49,16+ yrs,Yes
42,Bachelor's,Finance,2,Suburban,15,Married,Part-time,6,Own,Apartment,Male,Car,73496,12249.33333,40–49,11–15 yrs,No
56,High School,Technology,5,Urban,7,Single,Part-time,1,Rent,Single-family home,Female,Biking,4701227,4701227,50–59,6–10 yrs,Yes
50,Bachelor's,Technology,3,Urban,15,Divorced,Part-time,5,Own,Single-family home,Female,Car,65756,13151.2,50–59,11–15 yrs,No
18,Bachelor's,Technology,5,Suburban,10,Married,Self-employed,1,Own,Apartment,Female,Public transit,7066470,7066470,18–29,6–10 yrs,Yes
44,High School,Finance,1,Suburban,0,Married,Self-employed,5,Own,Townhouse,Male,Public transit,66922,13384.4,40–49,0–5 yrs,No
69,High School,Others,0,Suburban,21,Married,Full-time,4,Own,Apartment,Male,Public transit,2567436,641859,60–70,16+ yrs,No
30,Bachelor's,Finance,5,Suburban,17,Single,Part-time,4,Own,Townhouse,Male,Public transit,71024,17756,30–39,16+ yrs,Yes
58,High School,Finance,2,Urban,35,Married,Part-time,4,Own,Apartment,Female,Public transit,67218,16804.5,50–59,16+ yrs,No
